s=0 7x25 safe=26 any=26 d=0 traps=3 lens=[('lower', 5, 5), ('lower', 5, 5), ('lower', 5, 5)]
s=1 7x26 safe=35 any=27 d=8 traps=3 lens=[('upper', 4, 6), ('lower', 5, 5), ('upper', 5, 5)]
s=2 7x26 safe=27 any=27 d=0 traps=3 lens=[('lower', 5, 5), ('lower', 5, 4), ('lower', 6, 4)]
s=3 7x26 safe=31 any=27 d=4 traps=3 lens=[('upper', 5, 5), ('lower', 5, 4), ('lower', 6, 4)]
s=4 7x28 safe=33 any=29 d=4 traps=3 lens=[('upper', 5, 6), ('upper', 5, 6), ('lower', 6, 5)]
s=5 7x27 safe=28 any=28 d=0 traps=3 lens=[('upper', 5, 6), ('upper', 5, 5), ('upper', 4, 6)]
s=6 7x26 safe=31 any=27 d=4 traps=3 lens=[('upper', 4, 5), ('upper', 5, 6), ('lower', 5, 5)]
s=7 7x28 safe=29 any=29 d=0 traps=3 lens=[('upper', 5, 6), ('upper', 5, 6), ('upper', 5, 6)]
s=8 7x26 safe=27 any=27 d=0 traps=3 lens=[('upper', 5, 6), ('upper', 4, 5), ('upper', 4, 5)]
s=9 7x26 safe=35 any=27 d=8 traps=3 lens=[('upper', 4, 5), ('lower', 5, 5), ('upper', 5, 6)]
