family,difficulty,condition,seed,success,survived,steps,unlocks,warns,wbcr,tq,n_warns,prcr
funnel_trap,easy,robot_belief_post,10,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,11,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,12,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,13,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,14,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,15,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,16,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,17,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,18,1,1,14,0,2,1,0.3077,13,0
funnel_trap,easy,robot_belief_post,19,1,1,14,0,2,1,0.3077,13,0
funnel_trap,medium,no_tutor,0,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,1,0,0,3,0,0,1,0.0,0,1
funnel_trap,medium,no_tutor,2,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,3,0,0,12,0,0,1,0.0,0,1
funnel_trap,medium,no_tutor,4,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,5,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,6,0,0,5,0,0,1,0.0,0,1
funnel_trap,medium,no_tutor,7,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,8,0,0,12,0,0,1,0.0,0,1
funnel_trap,medium,no_tutor,9,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,10,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,11,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,12,0,0,6,0,0,1,0.0,0,1
funnel_trap,medium,no_tutor,13,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,14,0,0,4,0,0,1,0.0,0,1
funnel_trap,medium,no_tutor,15,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,16,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,17,1,1,16,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,18,0,0,13,0,0,1,0.0,0,0
funnel_trap,medium,no_tutor,19,0,0,6,0,0,1,0.0,0,1
funnel_trap,medium,warning_only,0,1,1,16,0,0,1,0.0,0,0
