variant,scenario,seed,theta_mode,true_goal,true_theta,nll,sm_acc,goal_acc,entropy,false_comp_mass,pred_goal
legacy_bonus,goal_aligned,0,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,1,2,avoid_blue,safe,0.4159806561200307,0.5366802917661995,0.0,2.4156181020811447,0.4484444124422867,avoid_blue+use_safe
legacy_bonus,goal_aligned,2,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,3,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,4,2,avoid_blue,safe,0.39977958410400044,0.5368433367912411,0.0,2.4153985123964303,0.44791274702762746,avoid_blue+use_safe
legacy_bonus,goal_aligned,5,2,avoid_blue,safe,0.37409389729212117,0.5320887485922903,0.0,2.5534281986040925,0.4521000062245517,avoid_blue+use_safe
legacy_bonus,goal_aligned,6,2,avoid_blue,safe,0.3916455736546437,0.5371763593942913,0.0,2.4151031409736357,0.4471275968390894,avoid_blue+use_safe
legacy_bonus,goal_aligned,7,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,8,2,avoid_blue,safe,0.4159806561200307,0.5366802917661995,0.0,2.4156181020811447,0.4484444124422867,avoid_blue+use_safe
legacy_bonus,goal_aligned,9,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,10,2,avoid_blue,safe,0.6090758994771367,0.5786396007639913,1.0,2.4254242650136337,0.3935225262514667,avoid_blue
legacy_bonus,goal_aligned,11,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,12,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,13,2,avoid_blue,safe,0.37409389729212117,0.5320887485922903,0.0,2.5534281986040925,0.4521000062245517,avoid_blue+use_safe
legacy_bonus,goal_aligned,14,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,15,2,avoid_blue,safe,0.37409389729212117,0.5320887485922903,0.0,2.5534281986040925,0.4521000062245517,avoid_blue+use_safe
legacy_bonus,goal_aligned,16,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,17,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,18,2,avoid_blue,safe,0.3916455736546437,0.5371763593942913,0.0,2.4151031409736357,0.4471275968390894,avoid_blue+use_safe
legacy_bonus,goal_aligned,19,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,20,2,avoid_blue,safe,0.3827791013670047,0.5381152210161927,0.0,2.418011797561347,0.44619645319660856,avoid_blue+use_safe
legacy_bonus,goal_aligned,21,2,avoid_blue,safe,0.5435042515767224,0.5905599160811998,1.0,2.305867476149628,0.3832169714757518,avoid_blue
legacy_bonus,goal_aligned,22,2,avoid_blue,safe,0.3886809659884908,0.5373948156948906,0.0,2.415055458007694,0.4467349080791871,avoid_blue+use_safe
legacy_bonus,goal_aligned,23,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,24,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,25,2,avoid_blue,safe,0.38574803584655115,0.5376819557160986,0.0,2.4154264117152096,0.4463689847189326,avoid_blue+use_safe
legacy_bonus,goal_aligned,26,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,27,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_aligned,28,2,avoid_blue,safe,0.3827791013670047,0.5381152210161927,0.0,2.418011797561347,0.44619645319660856,avoid_blue+use_safe
legacy_bonus,goal_aligned,29,2,avoid_blue,safe,0.1897322607719506,0.5262934856930804,0.0,2.375724402894966,0.4923990224955954,use_safe
legacy_bonus,goal_conflict,0,2,collect_red+avoid_blue,safe,0.6861929892983708,0.42292038620483624,0.0,2.51940749937509,0.3565950770297771,use_safe
legacy_bonus,goal_conflict,1,2,collect_red+avoid_blue,safe,0.697282686675232,0.42116623236689044,0.0,2.4957005482627608,0.3580463068364124,use_safe
legacy_bonus,goal_conflict,2,2,collect_red+avoid_blue,safe,0.4223742935886679,0.41777923725949223,0.0,2.213074712133662,0.426050707738763,use_safe
legacy_bonus,goal_conflict,3,2,collect_red+avoid_blue,safe,0.23158862741304467,0.39267938251559287,0.0,1.9818683562446937,0.4276104116101327,use_safe
legacy_bonus,goal_conflict,4,2,collect_red+avoid_blue,safe,0.6968373120742093,0.421697030477587,0.0,2.502913560446566,0.35851104644609527,use_safe
legacy_bonus,goal_conflict,5,2,collect_red+avoid_blue,safe,0.4153389531627819,0.419928605683557,0.0,2.319826454047035,0.42236745818478194,use_safe
legacy_bonus,goal_conflict,6,2,collect_red+avoid_blue,safe,0.4208083813894796,0.4181070034766312,0.0,2.2184377614580493,0.4258099935941416,use_safe
legacy_bonus,goal_conflict,7,2,collect_red+avoid_blue,safe,0.6943545600982224,0.42152853024075476,0.0,2.493473287092441,0.3570239821853244,use_safe
legacy_bonus,goal_conflict,8,2,collect_red+avoid_blue,safe,0.5842688960073537,0.4275371277324318,0.0,2.425887249903975,0.3944960250827672,use_safe
legacy_bonus,goal_conflict,9,2,collect_red+avoid_blue,safe,0.7556197276502925,0.4247884528123827,0.0,2.4266198383145507,0.3671817455038885,avoid_blue
legacy_bonus,goal_conflict,10,2,collect_red+avoid_blue,safe,0.7576682400923744,0.42502918690133235,0.0,2.4158330985623433,0.3655271960166407,avoid_blue
legacy_bonus,goal_conflict,11,2,collect_red+avoid_blue,safe,0.5755773441985542,0.42871041115218206,0.0,2.4681349442705796,0.39230877136929443,use_safe
legacy_bonus,goal_conflict,12,2,collect_red+avoid_blue,safe,0.6842246073361348,0.42504412182834966,0.0,2.5674621619680753,0.353456161334298,use_safe
legacy_bonus,goal_conflict,13,2,collect_red+avoid_blue,safe,0.7769939705424976,0.47237983072012946,0.0,2.1886008679990825,0.4122293296624199,collect_red+use_safe
legacy_bonus,goal_conflict,14,2,collect_red+avoid_blue,safe,0.5846947142816151,0.42696532045740576,0.0,2.42234612480544,0.3956314659367054,use_safe
