seed,family,variant,survived,reached_goal,steps,risky_entered,safe_branch_chosen,warn_count,unlock_count,necessary_warn,unnecessary_warn,necessary_segments,unnecessary_segments,delta_H,M_true_before,M_true_after,delta_nll_local
23,baseline_v2,legacy_bias,True,True,31,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
24,baseline_v2,legacy_bias,False,False,14,1,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
25,baseline_v2,legacy_bias,False,False,14,1,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
26,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
27,baseline_v2,legacy_bias,False,False,3,1,False,2,0,1,1,2,1,0.0,0.25,0.25,-0.6269
28,baseline_v2,legacy_bias,True,True,33,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
29,baseline_v2,legacy_bias,False,False,16,2,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
30,baseline_v2,legacy_bias,False,False,15,3,False,3,0,2,1,2,1,0.0,0.25,0.25,-0.6269
31,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
32,baseline_v2,legacy_bias,False,False,16,2,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
33,baseline_v2,legacy_bias,True,True,34,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
34,baseline_v2,legacy_bias,True,True,28,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
35,baseline_v2,legacy_bias,False,False,5,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
36,baseline_v2,legacy_bias,False,False,14,1,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
37,baseline_v2,legacy_bias,False,False,3,1,False,2,0,2,0,3,0,0.0,0.25,0.25,-0.6269
38,baseline_v2,legacy_bias,True,True,29,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
39,baseline_v2,legacy_bias,True,True,33,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
40,baseline_v2,legacy_bias,True,True,33,0,True,3,0,1,2,1,2,0.0,0.25,0.25,-0.638
41,baseline_v2,legacy_bias,True,True,35,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
42,baseline_v2,legacy_bias,True,True,31,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
43,baseline_v2,legacy_bias,True,True,33,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
44,baseline_v2,legacy_bias,True,True,32,3,False,3,0,2,1,2,1,0.0,0.25,0.25,-0.6409
45,baseline_v2,legacy_bias,True,True,35,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.6409
46,baseline_v2,legacy_bias,True,True,33,0,True,3,0,3,0,3,0,0.0,0.25,0.25,-0.638
47,baseline_v2,legacy_bias,True,True,31,3,False,3,0,3,0,3,0,0.0,0.25,0.25,-0.6269
48,baseline_v2,legacy_bias,False,False,3,1,False,2,0,2,0,3,0,0.0,0.25,0.25,-0.6269
49,baseline_v2,legacy_bias,False,False,4,2,False,2,0,2,0,3,0,0.0,0.25,0.25,-0.6269
0,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
1,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
2,baseline_v2,rsa_obs_s1,False,False,15,1,False,3,0,0,3,0,3,0.6874,0.25,0.7695345137374588,-0.5547
3,baseline_v2,rsa_obs_s1,False,False,15,1,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
4,baseline_v2,rsa_obs_s1,True,True,36,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
5,baseline_v2,rsa_obs_s1,False,False,27,1,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
6,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
7,baseline_v2,rsa_obs_s1,True,True,35,0,True,3,0,1,2,1,2,0.6874,0.25,0.7695345137374588,-0.5547
8,baseline_v2,rsa_obs_s1,True,True,30,3,False,3,0,2,1,2,1,0.6874,0.25,0.7695345137374588,-0.5547
9,baseline_v2,rsa_obs_s1,True,True,35,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
10,baseline_v2,rsa_obs_s1,False,False,29,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
11,baseline_v2,rsa_obs_s1,True,True,30,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
12,baseline_v2,rsa_obs_s1,True,True,31,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
13,baseline_v2,rsa_obs_s1,True,True,36,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
14,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,1,2,1,2,0.6874,0.25,0.7695345137374588,-0.5547
15,baseline_v2,rsa_obs_s1,True,True,36,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
16,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,2,1,2,1,0.6874,0.25,0.7695345137374588,-0.5547
17,baseline_v2,rsa_obs_s1,True,True,32,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
18,baseline_v2,rsa_obs_s1,True,True,31,3,False,3,0,2,1,2,1,0.6874,0.25,0.7695345137374588,-0.5547
19,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,1,2,1,2,0.6874,0.25,0.7695345137374588,-0.5547
20,baseline_v2,rsa_obs_s1,True,True,30,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
21,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,1,2,1,2,0.6874,0.25,0.7695345137374588,-0.5547
22,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
23,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
24,baseline_v2,rsa_obs_s1,False,False,14,1,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
25,baseline_v2,rsa_obs_s1,False,False,15,2,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
26,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
27,baseline_v2,rsa_obs_s1,True,True,30,3,False,3,0,2,1,2,1,0.6874,0.25,0.7695345137374588,-0.5547
28,baseline_v2,rsa_obs_s1,True,True,31,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
29,baseline_v2,rsa_obs_s1,False,False,17,3,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
30,baseline_v2,rsa_obs_s1,False,False,15,3,False,3,0,2,1,2,1,0.6874,0.25,0.7695345137374588,-0.5547
31,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
32,baseline_v2,rsa_obs_s1,False,False,16,2,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
33,baseline_v2,rsa_obs_s1,True,True,34,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
34,baseline_v2,rsa_obs_s1,True,True,26,6,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
35,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
36,baseline_v2,rsa_obs_s1,False,False,14,1,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
37,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
38,baseline_v2,rsa_obs_s1,False,False,25,2,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
39,baseline_v2,rsa_obs_s1,False,False,26,1,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
40,baseline_v2,rsa_obs_s1,True,True,31,3,False,3,0,1,2,1,2,0.6874,0.25,0.7695345137374588,-0.5547
41,baseline_v2,rsa_obs_s1,True,True,35,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
42,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
43,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
44,baseline_v2,rsa_obs_s1,True,True,32,3,False,3,0,2,1,2,1,0.6874,0.25,0.7695345137374588,-0.5547
45,baseline_v2,rsa_obs_s1,True,True,35,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
46,baseline_v2,rsa_obs_s1,False,False,26,1,False,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
47,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
48,baseline_v2,rsa_obs_s1,True,True,32,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
49,baseline_v2,rsa_obs_s1,True,True,33,0,True,3,0,3,0,3,0,0.6874,0.25,0.7695345137374588,-0.5547
