seed,family,variant,survived,reached_goal,steps,risky_entered,safe_branch_chosen,warn_count,unlock_count,necessary_warn,unnecessary_warn,necessary_segments,unnecessary_segments,delta_H,M_true_before,M_true_after,delta_nll_local
6,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
7,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
8,fork_trap,rsa_obs_s1,False,False,3,1,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
9,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
10,fork_trap,rsa_obs_s1,True,True,9,4,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
11,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
12,fork_trap,rsa_obs_s1,False,False,4,2,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
13,fork_trap,rsa_obs_s1,False,False,4,2,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
14,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
15,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
16,fork_trap,rsa_obs_s1,False,False,3,1,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
17,fork_trap,rsa_obs_s1,True,True,9,4,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
18,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
19,fork_trap,rsa_obs_s1,True,True,9,4,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
20,fork_trap,rsa_obs_s1,False,False,4,2,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
21,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
22,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
23,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
24,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
25,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
26,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
27,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
28,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
29,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
30,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
31,fork_trap,rsa_obs_s1,False,False,6,4,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
32,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
33,fork_trap,rsa_obs_s1,True,True,9,4,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
34,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
35,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
36,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
37,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
38,fork_trap,rsa_obs_s1,True,True,11,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
39,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
40,fork_trap,rsa_obs_s1,False,False,5,3,False,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
